activityType,hintsUsed,attemptCount,timeSpentSeconds,conceptUnderstanding,decisionMaking,boundaryConditions,codingImplementation,hintDependency,testCasesTotal,testCasesPassed,executionStatus,success,score,accuracy
debugging,3,5,136,,,35.29,31.05,48.32,14.0,4.0,error,False,,
coding,4,2,221,,,60.16,43.67,65.37,9.0,6.0,fail,False,,
debugging,1,4,217,,,23.59,29.83,10.08,7.0,3.0,fail,False,,
battle,2,5,196,7.28,37.3,,,32.49,,,,,21.87,0.21
coding,4,2,121,,,13.87,10.06,52.85,12.0,2.0,error,False,,
interview,3,2,83,64.58,,,,47.73,,,,,56.53,0.64
interview,5,4,219,49.45,,,,76.2,,,,,42.7,0.46
coding,0,4,217,,,21.49,17.36,0.0,13.0,5.0,fail,False,,
interview,2,3,110,74.67,,,,36.51,,,,,70.89,0.68
coding,0,4,164,,,26.15,6.26,0.0,5.0,1.0,error,False,,
debugging,3,6,64,,,29.46,33.49,36.63,5.0,2.0,fail,False,,
coding,2,1,236,,,12.43,0.07,27.21,7.0,1.0,error,False,,
interview,3,6,260,47.21,,,,52.3,,,,,52.89,0.53
coding,1,5,91,,,10.39,14.55,11.49,13.0,3.0,error,False,,
interview,5,6,157,34.46,,,,70.09,,,,,35.77,0.38
interview,4,1,288,48.37,,,,60.04,,,,,47.76,0.53
debugging,1,4,181,,,70.33,84.3,13.87,12.0,9.0,pass,True,,
interview,3,6,142,29.7,,,,44.48,,,,,33.42,0.32
interview,0,1,155,38.6,,,,0.0,,,,,29.95,0.32
debugging,0,6,127,,,48.59,38.8,5.26,10.0,5.0,fail,False,,
battle,3,3,288,26.93,35.21,,,56.95,,,,,20.31,0.21
interview,0,1,157,70.25,,,,0.0,,,,,62.5,0.61
coding,5,2,128,,,67.05,90.06,81.11,11.0,8.0,pass,True,,
interview,0,2,283,56.13,,,,0.0,,,,,47.71,0.48
debugging,3,6,149,,,74.83,61.52,50.98,13.0,9.0,fail,False,,
interview,4,1,190,17.55,,,,63.32,,,,,20.35,0.21
interview,2,1,157,50.72,,,,22.21,,,,,56.87,0.65
coding,5,6,259,,,85.61,93.77,69.6,7.0,6.0,pass,True,,
coding,0,4,176,,,74.78,73.52,10.36,5.0,4.0,pass,True,,
coding,2,4,262,,,83.31,91.71,28.3,9.0,8.0,pass,True,,
debugging,3,1,145,,,22.12,9.23,39.07,11.0,4.0,fail,False,,
coding,5,2,203,,,21.97,33.06,73.12,12.0,4.0,fail,False,,
debugging,2,2,133,,,40.1,29.06,37.58,11.0,4.0,fail,False,,
battle,4,4,65,89.7,77.76,,,63.6,,,,,82.19,0.84
interview,2,4,244,41.71,,,,21.6,,,,,33.91,0.32
coding,1,2,209,,,70.48,86.35,1.06,12.0,9.0,pass,True,,
interview,5,5,76,61.23,,,,66.1,,,,,66.67,0.76
coding,1,5,146,,,38.33,32.92,1.07,11.0,5.0,fail,False,,
coding,0,2,125,,,85.33,96.06,12.36,12.0,11.0,pass,True,,
interview,4,6,276,18.53,,,,75.71,,,,,22.94,0.24
debugging,0,6,267,,,18.66,25.18,0.0,8.0,2.0,error,False,,
coding,5,5,52,,,61.53,53.14,72.73,14.0,9.0,fail,False,,
battle,4,4,45,25.86,42.73,,,60.07,,,,,25.09,0.26
debugging,3,4,207,,,65.72,87.96,37.76,7.0,5.0,pass,True,,
interview,1,3,73,36.29,,,,18.13,,,,,37.43,0.42
coding,2,1,119,,,37.13,43.97,29.22,12.0,6.0,fail,False,,
debugging,0,4,143,,,47.15,35.36,6.3,8.0,4.0,fail,False,,
battle,0,3,206,77.09,54.04,,,3.46,,,,,68.76,0.79
debugging,5,5,297,,,31.54,31.35,85.87,13.0,5.0,fail,False,,
interview,0,6,216,28.4,,,,0.0,,,,,24.1,0.28
debugging,3,3,173,,,27.86,30.56,44.13,9.0,2.0,error,False,,
battle,3,5,180,98.34,69.51,,,42.6,,,,,98.71,0.94
